RunAccession	Lane	Sample	BiolRep
ERR458493	1	WT	1
ERR458494	2	WT	1
ERR458495	3	WT	1
ERR458496	4	WT	1
ERR458497	5	WT	1
ERR458498	6	WT	1
ERR458499	7	WT	1
ERR458500	1	SNF2	1
ERR458501	2	SNF2	1
ERR458502	3	SNF2	1
ERR458503	4	SNF2	1
ERR458504	5	SNF2	1
ERR458505	6	SNF2	1
ERR458506	7	SNF2	1
ERR458507	1	SNF2	2
ERR458508	2	SNF2	2
ERR458509	3	SNF2	2
ERR458510	4	SNF2	2
ERR458511	5	SNF2	2
ERR458512	6	SNF2	2
ERR458513	7	SNF2	2
ERR458514	1	SNF2	3
ERR458515	2	SNF2	3
ERR458516	3	SNF2	3
ERR458517	4	SNF2	3
ERR458518	5	SNF2	3
ERR458519	6	SNF2	3
ERR458520	7	SNF2	3
ERR458521	1	SNF2	4
ERR458522	2	SNF2	4
ERR458523	3	SNF2	4
ERR458524	4	SNF2	4
ERR458525	5	SNF2	4
ERR458526	6	SNF2	4
ERR458527	7	SNF2	4
ERR458528	1	SNF2	5
ERR458529	2	SNF2	5
ERR458530	3	SNF2	5
ERR458531	4	SNF2	5
ERR458532	5	SNF2	5
ERR458533	6	SNF2	5
ERR458534	7	SNF2	5
ERR458535	1	SNF2	6
ERR458536	2	SNF2	6
ERR458537	3	SNF2	6
ERR458538	4	SNF2	6
ERR458539	5	SNF2	6
ERR458540	6	SNF2	6
ERR458541	7	SNF2	6
ERR458542	1	SNF2	7
ERR458543	2	SNF2	7
ERR458544	3	SNF2	7
ERR458545	4	SNF2	7
ERR458546	5	SNF2	7
ERR458547	6	SNF2	7
ERR458548	7	SNF2	7
ERR458549	1	SNF2	8
ERR458550	2	SNF2	8
ERR458551	3	SNF2	8
ERR458552	4	SNF2	8
ERR458553	5	SNF2	8
ERR458554	6	SNF2	8
ERR458555	7	SNF2	8
ERR458556	1	SNF2	9
ERR458557	2	SNF2	9
ERR458558	3	SNF2	9
ERR458559	4	SNF2	9
ERR458560	5	SNF2	9
ERR458561	6	SNF2	9
ERR458562	7	SNF2	9
ERR458563	1	SNF2	10
ERR458564	2	SNF2	10
ERR458565	3	SNF2	10
ERR458566	4	SNF2	10
ERR458567	5	SNF2	10
ERR458568	6	SNF2	10
ERR458569	7	SNF2	10
ERR458570	1	SNF2	11
ERR458571	2	SNF2	11
ERR458572	3	SNF2	11
ERR458573	4	SNF2	11
ERR458574	5	SNF2	11
ERR458575	6	SNF2	11
ERR458576	7	SNF2	11
ERR458577	1	SNF2	12
ERR458578	2	SNF2	12
ERR458579	3	SNF2	12
ERR458580	4	SNF2	12
ERR458581	5	SNF2	12
ERR458582	6	SNF2	12
ERR458583	7	SNF2	12
ERR458584	1	SNF2	13
ERR458585	2	SNF2	13
ERR458586	3	SNF2	13
ERR458587	4	SNF2	13
ERR458588	5	SNF2	13
ERR458589	6	SNF2	13
ERR458590	7	SNF2	13
ERR458591	1	SNF2	14
ERR458592	2	SNF2	14
ERR458593	3	SNF2	14
ERR458594	4	SNF2	14
ERR458595	5	SNF2	14
ERR458596	6	SNF2	14
ERR458597	7	SNF2	14
ERR458598	1	SNF2	15
ERR458599	2	SNF2	15
ERR458600	3	SNF2	15
ERR458601	4	SNF2	15
ERR458602	5	SNF2	15
ERR458603	6	SNF2	15
ERR458604	7	SNF2	15
ERR458605	1	SNF2	16
ERR458606	2	SNF2	16
ERR458607	3	SNF2	16
ERR458608	4	SNF2	16
ERR458609	5	SNF2	16
ERR458610	6	SNF2	16
ERR458611	7	SNF2	16
ERR458612	1	SNF2	17
ERR458613	2	SNF2	17
ERR458614	3	SNF2	17
ERR458615	4	SNF2	17
ERR458616	5	SNF2	17
ERR458617	6	SNF2	17
ERR458618	7	SNF2	17
ERR458619	1	SNF2	18
ERR458620	2	SNF2	18
ERR458621	3	SNF2	18
ERR458622	4	SNF2	18
ERR458623	5	SNF2	18
ERR458624	6	SNF2	18
ERR458625	7	SNF2	18
ERR458626	1	SNF2	19
ERR458627	2	SNF2	19
ERR458628	3	SNF2	19
ERR458629	4	SNF2	19
ERR458630	5	SNF2	19
ERR458631	6	SNF2	19
ERR458632	7	SNF2	19
ERR458633	1	SNF2	20
ERR458634	2	SNF2	20
ERR458635	3	SNF2	20
ERR458636	4	SNF2	20
ERR458637	5	SNF2	20
ERR458638	6	SNF2	20
ERR458639	7	SNF2	20
ERR458640	1	SNF2	21
ERR458641	2	SNF2	21
ERR458642	3	SNF2	21
ERR458643	4	SNF2	21
ERR458644	5	SNF2	21
ERR458645	6	SNF2	21
ERR458646	7	SNF2	21
ERR458647	1	SNF2	22
ERR458648	2	SNF2	22
ERR458649	3	SNF2	22
ERR458650	4	SNF2	22
ERR458651	5	SNF2	22
ERR458652	6	SNF2	22
ERR458653	7	SNF2	22
ERR458654	1	SNF2	23
ERR458655	2	SNF2	23
ERR458656	3	SNF2	23
ERR458657	4	SNF2	23
ERR458658	5	SNF2	23
ERR458659	6	SNF2	23
ERR458660	7	SNF2	23
ERR458661	1	SNF2	24
ERR458662	2	SNF2	24
ERR458663	3	SNF2	24
ERR458664	4	SNF2	24
ERR458665	5	SNF2	24
ERR458666	6	SNF2	24
ERR458667	7	SNF2	24
ERR458668	1	SNF2	25
ERR458669	2	SNF2	25
ERR458670	3	SNF2	25
ERR458671	4	SNF2	25
ERR458672	5	SNF2	25
ERR458673	6	SNF2	25
ERR458674	7	SNF2	25
ERR458675	1	SNF2	26
ERR458676	2	SNF2	26
ERR458677	3	SNF2	26
ERR458678	4	SNF2	26
ERR458679	5	SNF2	26
ERR458680	6	SNF2	26
ERR458681	7	SNF2	26
ERR458682	1	SNF2	27
ERR458683	2	SNF2	27
ERR458684	3	SNF2	27
ERR458685	4	SNF2	27
ERR458686	5	SNF2	27
ERR458687	6	SNF2	27
ERR458688	7	SNF2	27
ERR458689	1	SNF2	28
ERR458690	2	SNF2	28
ERR458691	3	SNF2	28
ERR458692	4	SNF2	28
ERR458693	5	SNF2	28
ERR458694	6	SNF2	28
ERR458695	7	SNF2	28
ERR458696	1	SNF2	29
ERR458697	2	SNF2	29
ERR458698	3	SNF2	29
ERR458699	4	SNF2	29
ERR458700	5	SNF2	29
ERR458701	6	SNF2	29
ERR458702	7	SNF2	29
ERR458703	1	SNF2	30
ERR458704	2	SNF2	30
ERR458705	3	SNF2	30
ERR458706	4	SNF2	30
ERR458707	5	SNF2	30
ERR458708	6	SNF2	30
ERR458709	7	SNF2	30
ERR458710	1	SNF2	31
ERR458711	2	SNF2	31
ERR458712	3	SNF2	31
ERR458713	4	SNF2	31
ERR458714	5	SNF2	31
ERR458715	6	SNF2	31
ERR458716	7	SNF2	31
ERR458717	1	SNF2	32
ERR458718	2	SNF2	32
ERR458719	3	SNF2	32
ERR458720	4	SNF2	32
ERR458721	5	SNF2	32
ERR458722	6	SNF2	32
ERR458723	7	SNF2	32
ERR458724	1	SNF2	33
ERR458725	2	SNF2	33
ERR458726	3	SNF2	33
ERR458727	4	SNF2	33
ERR458728	5	SNF2	33
ERR458729	6	SNF2	33
ERR458730	7	SNF2	33
ERR458731	1	SNF2	34
ERR458732	2	SNF2	34
ERR458733	3	SNF2	34
ERR458734	4	SNF2	34
ERR458735	5	SNF2	34
ERR458736	6	SNF2	34
ERR458737	7	SNF2	34
ERR458738	1	SNF2	35
ERR458739	2	SNF2	35
ERR458740	3	SNF2	35
ERR458741	4	SNF2	35
ERR458742	5	SNF2	35
ERR458743	6	SNF2	35
ERR458744	7	SNF2	35
ERR458745	1	SNF2	36
ERR458746	2	SNF2	36
ERR458747	3	SNF2	36
ERR458748	4	SNF2	36
ERR458749	5	SNF2	36
ERR458750	6	SNF2	36
ERR458751	7	SNF2	36
ERR458752	1	SNF2	37
ERR458753	2	SNF2	37
ERR458754	3	SNF2	37
ERR458755	4	SNF2	37
ERR458756	5	SNF2	37
ERR458757	6	SNF2	37
ERR458758	7	SNF2	37
ERR458759	1	SNF2	38
ERR458760	2	SNF2	38
ERR458761	3	SNF2	38
ERR458762	4	SNF2	38
ERR458763	5	SNF2	38
ERR458764	6	SNF2	38
ERR458765	7	SNF2	38
ERR458766	1	SNF2	39
ERR458767	2	SNF2	39
ERR458768	3	SNF2	39
ERR458769	4	SNF2	39
ERR458770	5	SNF2	39
ERR458771	6	SNF2	39
ERR458772	7	SNF2	39
ERR458773	1	SNF2	40
ERR458774	2	SNF2	40
ERR458775	3	SNF2	40
ERR458776	4	SNF2	40
ERR458777	5	SNF2	40
ERR458778	6	SNF2	40
ERR458779	7	SNF2	40
ERR458780	1	SNF2	41
ERR458781	2	SNF2	41
ERR458782	3	SNF2	41
ERR458783	4	SNF2	41
ERR458784	5	SNF2	41
ERR458785	6	SNF2	41
ERR458786	7	SNF2	41
ERR458787	1	SNF2	42
ERR458788	2	SNF2	42
ERR458789	3	SNF2	42
ERR458790	4	SNF2	42
ERR458791	5	SNF2	42
ERR458792	6	SNF2	42
ERR458793	7	SNF2	42
ERR458794	1	SNF2	43
ERR458795	2	SNF2	43
ERR458796	3	SNF2	43
ERR458797	4	SNF2	43
ERR458798	5	SNF2	43
ERR458799	6	SNF2	43
ERR458800	7	SNF2	43
ERR458801	1	SNF2	44
ERR458802	2	SNF2	44
ERR458803	3	SNF2	44
ERR458804	4	SNF2	44
ERR458805	5	SNF2	44
ERR458806	6	SNF2	44
ERR458807	7	SNF2	44
ERR458808	1	SNF2	45
ERR458809	2	SNF2	45
ERR458810	3	SNF2	45
ERR458811	4	SNF2	45
ERR458812	5	SNF2	45
ERR458813	6	SNF2	45
ERR458814	7	SNF2	45
ERR458815	1	SNF2	46
ERR458816	2	SNF2	46
ERR458817	3	SNF2	46
ERR458818	4	SNF2	46
ERR458819	5	SNF2	46
ERR458820	6	SNF2	46
ERR458821	7	SNF2	46
ERR458822	1	SNF2	47
ERR458823	2	SNF2	47
ERR458824	3	SNF2	47
ERR458825	4	SNF2	47
ERR458826	5	SNF2	47
ERR458827	6	SNF2	47
ERR458828	7	SNF2	47
ERR458829	1	SNF2	48
ERR458830	2	SNF2	48
ERR458831	3	SNF2	48
ERR458832	4	SNF2	48
ERR458833	5	SNF2	48
ERR458834	6	SNF2	48
ERR458835	7	SNF2	48
ERR458878	1	WT	2
ERR458879	2	WT	2
ERR458880	3	WT	2
ERR458881	4	WT	2
ERR458882	5	WT	2
ERR458883	6	WT	2
ERR458884	7	WT	2
ERR458885	1	WT	3
ERR458886	2	WT	3
ERR458887	3	WT	3
ERR458888	4	WT	3
ERR458889	5	WT	3
ERR458890	6	WT	3
ERR458891	7	WT	3
ERR458892	1	WT	4
ERR458893	2	WT	4
ERR458894	3	WT	4
ERR458895	4	WT	4
ERR458896	5	WT	4
ERR458897	6	WT	4
ERR458898	7	WT	4
ERR458899	1	WT	5
ERR458900	2	WT	5
ERR458901	3	WT	5
ERR458902	4	WT	5
ERR458903	5	WT	5
ERR458904	6	WT	5
ERR458905	7	WT	5
ERR458906	1	WT	6
ERR458907	2	WT	6
ERR458908	3	WT	6
ERR458909	4	WT	6
ERR458910	5	WT	6
ERR458911	6	WT	6
ERR458912	7	WT	6
ERR458913	1	WT	7
ERR458914	2	WT	7
ERR458915	3	WT	7
ERR458916	4	WT	7
ERR458917	5	WT	7
ERR458918	6	WT	7
ERR458919	7	WT	7
ERR458920	1	WT	8
ERR458921	2	WT	8
ERR458922	3	WT	8
ERR458923	4	WT	8
ERR458924	5	WT	8
ERR458925	6	WT	8
ERR458926	7	WT	8
ERR458927	1	WT	9
ERR458928	2	WT	9
ERR458929	3	WT	9
ERR458930	4	WT	9
ERR458931	5	WT	9
ERR458932	6	WT	9
ERR458933	7	WT	9
ERR458934	1	WT	10
ERR458935	2	WT	10
ERR458936	3	WT	10
ERR458937	4	WT	10
ERR458938	5	WT	10
ERR458939	6	WT	10
ERR458940	7	WT	10
ERR458941	1	WT	11
ERR458942	2	WT	11
ERR458943	3	WT	11
ERR458944	4	WT	11
ERR458945	5	WT	11
ERR458946	6	WT	11
ERR458947	7	WT	11
ERR458948	1	WT	12
ERR458949	2	WT	12
ERR458950	3	WT	12
ERR458951	4	WT	12
ERR458952	5	WT	12
ERR458953	6	WT	12
ERR458954	7	WT	12
ERR458955	1	WT	13
ERR458956	2	WT	13
ERR458957	3	WT	13
ERR458958	4	WT	13
ERR458959	5	WT	13
ERR458960	6	WT	13
ERR458961	7	WT	13
ERR458962	1	WT	14
ERR458963	2	WT	14
ERR458964	3	WT	14
ERR458965	4	WT	14
ERR458966	5	WT	14
ERR458967	6	WT	14
ERR458968	7	WT	14
ERR458969	1	WT	15
ERR458970	2	WT	15
ERR458971	3	WT	15
ERR458972	4	WT	15
ERR458973	5	WT	15
ERR458974	6	WT	15
ERR458975	7	WT	15
ERR458976	1	WT	16
ERR458977	2	WT	16
ERR458978	3	WT	16
ERR458979	4	WT	16
ERR458980	5	WT	16
ERR458981	6	WT	16
ERR458982	7	WT	16
ERR458983	1	WT	17
ERR458984	2	WT	17
ERR458985	3	WT	17
ERR458986	4	WT	17
ERR458987	5	WT	17
ERR458988	6	WT	17
ERR458989	7	WT	17
ERR458990	1	WT	18
ERR458991	2	WT	18
ERR458992	3	WT	18
ERR458993	4	WT	18
ERR458994	5	WT	18
ERR458995	6	WT	18
ERR458996	7	WT	18
ERR458997	1	WT	19
ERR458998	2	WT	19
ERR458999	3	WT	19
ERR459000	4	WT	19
ERR459001	5	WT	19
ERR459002	6	WT	19
ERR459003	7	WT	19
ERR459004	1	WT	20
ERR459005	2	WT	20
ERR459006	3	WT	20
ERR459007	4	WT	20
ERR459008	5	WT	20
ERR459009	6	WT	20
ERR459010	7	WT	20
ERR459011	1	WT	21
ERR459012	2	WT	21
ERR459013	3	WT	21
ERR459014	4	WT	21
ERR459015	5	WT	21
ERR459016	6	WT	21
ERR459017	7	WT	21
ERR459018	1	WT	22
ERR459019	2	WT	22
ERR459020	3	WT	22
ERR459021	4	WT	22
ERR459022	5	WT	22
ERR459023	6	WT	22
ERR459024	7	WT	22
ERR459025	1	WT	23
ERR459026	2	WT	23
ERR459027	3	WT	23
ERR459028	4	WT	23
ERR459029	5	WT	23
ERR459030	6	WT	23
ERR459031	7	WT	23
ERR459032	1	WT	24
ERR459033	2	WT	24
ERR459034	3	WT	24
ERR459035	4	WT	24
ERR459036	5	WT	24
ERR459037	6	WT	24
ERR459038	7	WT	24
ERR459039	1	WT	25
ERR459040	2	WT	25
ERR459041	3	WT	25
ERR459042	4	WT	25
ERR459043	5	WT	25
ERR459044	6	WT	25
ERR459045	7	WT	25
ERR459046	1	WT	26
ERR459047	2	WT	26
ERR459048	3	WT	26
ERR459049	4	WT	26
ERR459050	5	WT	26
ERR459051	6	WT	26
ERR459052	7	WT	26
ERR459053	1	WT	27
ERR459054	2	WT	27
ERR459055	3	WT	27
ERR459056	4	WT	27
ERR459057	5	WT	27
ERR459058	6	WT	27
ERR459059	7	WT	27
ERR459060	1	WT	28
ERR459061	2	WT	28
ERR459062	3	WT	28
ERR459063	4	WT	28
ERR459064	5	WT	28
ERR459065	6	WT	28
ERR459066	7	WT	28
ERR459067	1	WT	29
ERR459068	2	WT	29
ERR459069	3	WT	29
ERR459070	4	WT	29
ERR459071	5	WT	29
ERR459072	6	WT	29
ERR459073	7	WT	29
ERR459074	1	WT	30
ERR459075	2	WT	30
ERR459076	3	WT	30
ERR459077	4	WT	30
ERR459078	5	WT	30
ERR459079	6	WT	30
ERR459080	7	WT	30
ERR459081	1	WT	31
ERR459082	2	WT	31
ERR459083	3	WT	31
ERR459084	4	WT	31
ERR459085	5	WT	31
ERR459086	6	WT	31
ERR459087	7	WT	31
ERR459088	1	WT	32
ERR459089	2	WT	32
ERR459090	3	WT	32
ERR459091	4	WT	32
ERR459092	5	WT	32
ERR459093	6	WT	32
ERR459094	7	WT	32
ERR459095	1	WT	33
ERR459096	2	WT	33
ERR459097	3	WT	33
ERR459098	4	WT	33
ERR459099	5	WT	33
ERR459100	6	WT	33
ERR459101	7	WT	33
ERR459102	1	WT	34
ERR459103	2	WT	34
ERR459104	3	WT	34
ERR459105	4	WT	34
ERR459106	5	WT	34
ERR459107	6	WT	34
ERR459108	7	WT	34
ERR459109	1	WT	35
ERR459110	2	WT	35
ERR459111	3	WT	35
ERR459112	4	WT	35
ERR459113	5	WT	35
ERR459114	6	WT	35
ERR459115	7	WT	35
ERR459116	1	WT	36
ERR459117	2	WT	36
ERR459118	3	WT	36
ERR459119	4	WT	36
ERR459120	5	WT	36
ERR459121	6	WT	36
ERR459122	7	WT	36
ERR459123	1	WT	37
ERR459124	2	WT	37
ERR459125	3	WT	37
ERR459126	4	WT	37
ERR459127	5	WT	37
ERR459128	6	WT	37
ERR459129	7	WT	37
ERR459130	1	WT	38
ERR459131	2	WT	38
ERR459132	3	WT	38
ERR459133	4	WT	38
ERR459134	5	WT	38
ERR459135	6	WT	38
ERR459136	7	WT	38
ERR459137	1	WT	39
ERR459138	2	WT	39
ERR459139	3	WT	39
ERR459140	4	WT	39
ERR459141	5	WT	39
ERR459142	6	WT	39
ERR459143	7	WT	39
ERR459144	1	WT	40
ERR459145	2	WT	40
ERR459146	3	WT	40
ERR459147	4	WT	40
ERR459148	5	WT	40
ERR459149	6	WT	40
ERR459150	7	WT	40
ERR459151	1	WT	41
ERR459152	2	WT	41
ERR459153	3	WT	41
ERR459154	4	WT	41
ERR459155	5	WT	41
ERR459156	6	WT	41
ERR459157	7	WT	41
ERR459158	1	WT	42
ERR459159	2	WT	42
ERR459160	3	WT	42
ERR459161	4	WT	42
ERR459162	5	WT	42
ERR459163	6	WT	42
ERR459164	7	WT	42
ERR459165	1	WT	43
ERR459166	2	WT	43
ERR459167	3	WT	43
ERR459168	4	WT	43
ERR459169	5	WT	43
ERR459170	6	WT	43
ERR459171	7	WT	43
ERR459172	1	WT	44
ERR459173	2	WT	44
ERR459174	3	WT	44
ERR459175	4	WT	44
ERR459176	5	WT	44
ERR459177	6	WT	44
ERR459178	7	WT	44
ERR459179	1	WT	45
ERR459180	2	WT	45
ERR459181	3	WT	45
ERR459182	4	WT	45
ERR459183	5	WT	45
ERR459184	6	WT	45
ERR459185	7	WT	45
ERR459186	1	WT	46
ERR459187	2	WT	46
ERR459188	3	WT	46
ERR459189	4	WT	46
ERR459190	5	WT	46
ERR459191	6	WT	46
ERR459192	7	WT	46
ERR459193	1	WT	47
ERR459194	2	WT	47
ERR459195	3	WT	47
ERR459196	4	WT	47
ERR459197	5	WT	47
ERR459198	6	WT	47
ERR459199	7	WT	47
ERR459200	1	WT	48
ERR459201	2	WT	48
ERR459202	3	WT	48
ERR459203	4	WT	48
ERR459204	5	WT	48
ERR459205	6	WT	48
ERR459206	7	WT	48
